type,time,epoch,epoch_time,lr,lr_head,lr_vision,lr_text,lr_transformer,train_loss,train_odvg_negative_phrases,train_loss_main,train_loss_aux,train_loss_aux_contrib,train_loss_bbox,train_loss_giou,train_loss_score,train_loss_rank,train_loss_rank_raw,train_loss_text_alignment,train_loss_text_alignment_contrib,train_loss_text_alignment_rank,train_loss_text_alignment_rank_contrib,val_loss,val_loss_bbox,val_loss_giou,val_loss_score,val_loss_text_alignment,val_loss_text_alignment_contrib,val_loss_text_alignment_rank,val_loss_text_alignment_rank_contrib,val_loss_rank_raw,val_loss_rank,val_loss_text_negative,val_loss_text_negative_contrib,val_text_negative_queries,val_score_negative_iou_ignore_thr,val_duplicate_suppression_enabled,val_hard_negative_mining_enabled,val_matcher_score_alpha,val_matcher_cost_score_effective,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,quality_recall_iou,quality_recall50_at_1,quality_recall50_at_5,quality_recall50_at_10,text_recall_iou,text_recall50_at_1,text_recall50_at_5,text_recall50_at_10,final_recall_iou,final_recall50_at_1,final_recall50_at_5,final_recall50_at_10,recall50_at_1,recall50_at_5,recall50_at_10,raw_oracle_num_gt,raw_oracle_num_samples,raw_oracle_positive_samples,raw_oracle_num_pred,raw_oracle_avg_pred_per_sample,raw_oracle_avg_pred_per_positive_sample,raw_best_iou_mean,raw_best_iou_median,raw_best_iou_p25,raw_best_iou_p75,raw_oracle_recall25,raw_oracle_recall50,raw_oracle_recall75,raw_oracle_gap50,raw_oracle_retention50,valid_samples,valid_images,odvg_phrase_rows,skipped_empty_gt,avg_selected_per_sample,eval_loop_time,phrase_token_reduction,phrase_score_fusion,evaluation_mode,lambda_bbox,lambda_giou,lambda_score,classification_type,ia_bce_alpha,classification_focal_alpha,classification_focal_gamma,normalize_classification_by_num_gt,dense_score_assignment_enabled,pairwise_ranking_enabled,duplicate_suppression_enabled,duplicate_suppression_active,duplicate_loss_weight,duplicate_margin,duplicate_background_weight,duplicate_classification_weight,duplicate_max_pairs,duplicate_start_epoch,hard_negative_mining_enabled,hard_negative_mining_active,hard_negative_loss_weight,hard_negative_topk,hard_negative_max_iou,hard_negative_start_epoch,lambda_rank_max,lambda_aux,pos_weight,quality_warmup_epoch,aux_score_enabled,matcher_score_start_epoch,matcher_score_warmup_epoch,matcher_score_alpha_min,negative_sample_ratio,negative_phrase_max_per_image,negative_sampling_mode,max_query_loss_weight,lambda_text_negative,text_negative_topk,text_negative_hard_mix,score_negative_iou_ignore_thr,matcher_score_alpha,matcher_cost_score_effective,negative_text_as_empty_target,use_negative_queries_in_val
epoch,1785285068.539906,1,791.8602215750143,5.252786412680962e-05,5.252786412680962e-05,5.252786412680962e-05,5.252786412680962e-06,5.252786412680962e-05,2.7464303970336914,12286,2.382316827774048,2.80886173248291,0.3641117513179779,0.0669126808643341,0.8890032172203064,0.2518967092037201,0.009570416994392872,0.36807483434677124,0.07963120192289352,0.008282210677862167,0.36807483434677124,0.009570416994392872,,,,,,,,,,,,,,,,,,,8.466278814012185e-05,1.4072112207941245e-05,0.0026731819488358725,0.031657419069339957,930,346970,29377,347900,0.5,0.0018722129557136535,0.008714300302958097,0.014807502467917079,0.5,0.004867753684855499,0.01650951424583858,0.029172481873574563,0.5,0.0015998910712462131,0.009735507369710999,0.019334853797188276,0.0015998910712462131,0.009735507369710999,0.019334853797188276,29377,17395,17395,1739500,100.0,100.0,0.21461834013462067,0.10821712762117386,0.03890691325068474,0.3690320551395416,0.32678624987602234,0.15726588666439056,0.0219219122081995,0.12560846759505062,0.2012987033665966,17395,2683,17395,0,20.0,186.14799038111232,mean,geometric_mean,odvg_phrase_grounding,5.0,2.0,1.0,iou,0.25,0.25,2.0,True,False,False,True,False,0.1,0.25,0.05,0.25,128,5,True,False,0.05,10,0.3,10,0.0,0.5,1.0,10,True,5,12,0.0,0.1,3,odvg_appended_phrase,4.0,0.25,20,0.5,0.5,0.0,0.0,True,False
epoch,1785285570.0734591,2,497.369213151047,9.997657153022218e-05,9.997657153022218e-05,9.997657153022218e-05,9.997657153022218e-06,9.997657153022218e-05,2.8835344314575195,12286,2.006403923034668,2.3682491779327393,0.8771287798881531,0.03925130143761635,0.7834886908531189,0.20093239843845367,0.016225745901465416,0.18436892330646515,0.06936738640069962,0.024417702108621597,0.18436892330646515,0.016225745901465416,,,,,,,,,,,,,,,,,,,0.0008701503393240273,0.0001564556878292933,0.006841046277665996,0.08101576062906356,2380,345520,29377,347900,0.5,0.011267317969840351,0.0257003778466147,0.047179766483984066,0.5,0.013786295401164175,0.03257650542941757,0.055519624195799436,0.5,0.010926915614256051,0.025496136433264118,0.043299179630323044,0.010926915614256051,0.025496136433264118,0.043299179630323044,29377,17395,17395,1739500,100.0,100.0,0.3072359561920166,0.27587345242500305,0.07900700718164444,0.49281659722328186,0.5277257561683655,0.24063041806221008,0.043503422290086746,0.1596146574331465,0.33668129441606415,17395,2683,17395,0,20.0,91.83164980495349,mean,geometric_mean,odvg_phrase_grounding,4.99560346786577,2.0,1.0087930642684606,iou,0.25,0.25,2.0,True,False,False,True,False,0.1,0.25,0.05,0.25,128,5,True,False,0.05,10,0.3,10,0.0,0.5,1.0,10,True,5,12,0.0,0.1,3,odvg_appended_phrase,4.0,0.25,20,0.5,0.5,0.0,0.0,True,False
epoch,1785286089.4764397,3,504.92623393796384,9.995834764548755e-05,9.995834764548755e-05,9.995834764548755e-05,9.995834764548755e-06,9.995834764548755e-05,2.9619522094726562,12286,1.870943307876587,2.1820104122161865,1.0910052061080933,0.03282659128308296,0.7289209365844727,0.17212608456611633,0.026825493201613426,0.16557690501213074,0.06876477599143982,0.044557057321071625,0.16557690501213074,0.026825493201613426,,,,,,,,,,,,,,,,,,,0.014100257307291031,0.005982100032269955,0.01494969818913481,0.17704326513939475,5201,342699,29377,347900,0.5,0.04626068012390646,0.07196105797052116,0.11114136909827416,0.5,0.038465466181025976,0.07962011097116792,0.11093712768492359,0.5,0.045307553528270414,0.07611396670864963,0.11461347312523402,0.045307553528270414,0.07611396670864963,0.11461347312523402,29377,17395,17395,1739500,100.0,100.0,0.3534389138221741,0.34304097294807434,0.10057172924280167,0.5574875473976135,0.5873302221298218,0.3182421624660492,0.08074343949556351,0.14119889732665444,0.5563161831464809,17395,2683,17395,0,20.0,97.98875896004029,mean,geometric_mean,odvg_phrase_grounding,4.982465416782565,2.0,1.03506916643487,iou,0.25,0.25,2.0,True,False,False,True,False,0.1,0.25,0.05,0.25,128,5,True,False,0.05,10,0.3,10,0.0,0.5,1.0,10,True,5,12,0.0,0.1,3,odvg_appended_phrase,4.0,0.25,20,0.5,0.5,0.0,0.0,True,False
epoch,1785286611.013282,4,508.09608282893896,9.993491941812663e-05,9.993491941812663e-05,9.993491941812663e-05,9.993491941812663e-06,9.993491941812663e-05,2.819580316543579,12286,1.7980693578720093,2.043022871017456,1.021511435508728,0.029977519065141678,0.7002185583114624,0.1411667764186859,0.035874418914318085,0.16022193431854248,0.06783809512853622,0.060795195400714874,0.16022193431854248,0.035874418914318085,,,,,,,,,,,,,,,,,,,0.0198225025087595,0.009364183060824871,0.0189738430583501,0.22469959492119684,6601,341299,29377,347900,0.5,0.05739183715151309,0.09473397555911087,0.1425605065187051,0.5,0.04769037001736052,0.09813799911495387,0.14303706981652314,0.5,0.056949314089253494,0.09687851039929196,0.14603261054566496,0.056949314089253494,0.09687851039929196,0.14603261054566496,29377,17395,17395,1739500,100.0,100.0,0.3768134117126465,0.38050970435142517,0.11700980365276337,0.5916992425918579,0.6085713505744934,0.3641284108161926,0.09504033625125885,0.13942881589499578,0.6170888847083738,17395,2683,17395,0,20.0,96.2758292988874,mean,geometric_mean,odvg_phrase_grounding,4.960739878387102,2.0,1.0785202432257963,iou,0.25,0.25,2.0,True,False,False,True,False,0.1,0.25,0.05,0.25,128,5,True,False,0.05,10,0.3,10,0.0,0.5,1.0,10,True,5,12,0.0,0.1,3,odvg_appended_phrase,4.0,0.25,20,0.5,0.5,0.0,0.0,True,False
epoch,1785287146.3887064,5,521.9492270669434,9.990628941730855e-05,9.990628941730855e-05,9.990628941730855e-05,9.990628941730855e-06,9.990628941730855e-05,2.734626293182373,12286,1.75250244140625,1.9642512798309326,0.9821256399154663,0.028670331463217735,0.687860369682312,0.11315371841192245,0.03944001719355583,0.15776006877422333,0.06607365608215332,0.06607365608215332,0.15776006877422333,0.03944001719355583,1.6826223134994507,0.025763047859072685,0.642712414264679,0.12997114658355713,0.08260153234004974,0.08260153234004974,,,0.153625950217247,0.03840648755431175,0.0,0.0,0,0.5494415413112564,True,True,0.0,0.0,1.0,2.0,0.02024262398481369,0.009951953776180744,0.021006036217303823,0.24876604146100692,7308,340592,29377,347900,0.5,0.07332266739285836,0.1255744289750485,0.17299247710794158,0.5,0.05579194608026688,0.11556659972087006,0.16196344078701025,0.5,0.07519488034857201,0.12686795792626884,0.17489873029921368,0.07519488034857201,0.12686795792626884,0.17489873029921368,29377,17395,17395,1739500,100.0,100.0,0.3894496560096741,0.3934451639652252,0.13284744322299957,0.6051881313323975,0.6293018460273743,0.377165824174881,0.10610341280698776,0.12839978271387406,0.659566762193335,17395,2683,17395,0,20.0,109.02628420200199,mean,geometric_mean,odvg_phrase_grounding,4.930681564753217,2.0,1.1386368704935645,iou,0.25,0.25,2.0,True,False,False,True,True,0.1,0.25,0.05,0.25,128,5,True,False,0.05,10,0.3,10,0.0,0.5,1.0,10,True,5,12,0.0,0.1,3,odvg_appended_phrase,4.0,0.25,20,0.5,0.5,0.0,0.0,True,False
epoch,1785287670.542861,6,509.61641610600054,9.987246078263554e-05,9.987246078263554e-05,9.987246078263554e-05,9.987246078263555e-06,9.987246078263554e-05,2.66296648979187,12286,1.711839199066162,1.902259111404419,0.9511295557022095,0.027546389028429985,0.6762049198150635,0.09546474367380142,0.039094410836696625,0.1563776433467865,0.06613484025001526,0.06613484025001526,0.1563776433467865,0.039094410836696625,,,,,,,,,,,,,,,,,,,0.019284477457404137,0.01003644522279501,0.020416786432883013,0.24178779317152874,7103,340797,29377,347900,0.5,0.07036116689927495,0.12829764781972292,0.18289818565544474,0.5,0.054872859720189265,0.1127753004050788,0.1529768185995847,0.5,0.07039520713483337,0.12928481465091737,0.18385131225108078,0.07039520713483337,0.12928481465091737,0.18385131225108078,29377,17395,17395,1739500,100.0,100.0,0.39209794998168945,0.3978235423564911,0.14190036058425903,0.601297914981842,0.6354290843009949,0.3731490671634674,0.1065799742937088,0.13136127399193867,0.6479656910561362,17395,2683,17395,0,20.0,96.16610273392871,mean,geometric_mean,odvg_phrase_grounding,4.892642882125692,2.0,1.214714235748616,iou,0.25,0.25,2.0,True,False,False,True,True,0.1,0.25,0.05,0.25,128,5,True,False,0.05,10,0.3,10,0.0,0.5,1.0,10,True,5,12,0.0,0.1,3,odvg_appended_phrase,4.0,0.25,20,0.5,0.5,0.019675925925925927,0.03935185185185185,True,False
epoch,1785288186.4022994,7,508.0523430579342,9.98334372237986e-05,9.98334372237986e-05,9.98334372237986e-05,9.983343722379861e-06,9.98334372237986e-05,2.599058151245117,12286,1.6694997549057007,1.8591176271438599,0.9295588135719299,0.026205653324723244,0.6602666974067688,0.08419988304376602,0.03883524239063263,0.15534096956253052,0.06681598722934723,0.06681598722934723,0.15534096956253052,0.03883524239063263,,,,,,,,,,,,,,,,,,,0.026078855618834496,0.014337373897433281,0.021977579764300086,0.26027164107975626,7646,340254,29377,347900,0.5,0.07791809919324642,0.1415392994519522,0.19110188242502638,0.5,0.05912788916499302,0.12026415222793342,0.16917997072539742,0.5,0.07798617966436328,0.14375191476325017,0.19314429655853219,0.07798617966436328,0.14375191476325017,0.19314429655853219,29377,17395,17395,1739500,100.0,100.0,0.40518659353256226,0.4169023633003235,0.15012095868587494,0.6174935698509216,0.6515300869941711,0.4027981162071228,0.11903870105743408,0.14252647512736655,0.646159032546026,17395,2683,17395,0,20.0,92.65506365220062,mean,geometric_mean,odvg_phrase_grounding,4.847069799279232,2.0,1.3058604014415343,iou,0.25,0.25,2.0,True,False,False,True,True,0.1,0.25,0.05,0.25,128,5,True,False,0.05,10,0.3,10,0.0,0.5,1.0,10,True,5,12,0.0,0.1,3,odvg_appended_phrase,4.0,0.25,20,0.5,0.5,0.07407407407407407,0.14814814814814814,True,False
epoch,1785288710.7532914,8,509.11167093506083,9.978922302017073e-05,9.978922302017073e-05,9.978922302017073e-05,9.978922302017074e-06,9.978922302017073e-05,2.5529136657714844,12286,1.6433899402618408,1.8190486431121826,0.9095243215560913,0.02507362700998783,0.6532768607139587,0.07221408188343048,0.038641758263111115,0.15456703305244446,0.06756343692541122,0.06756343692541122,0.15456703305244446,0.038641758263111115,,,,,,,,,,,,,,,,,,,0.026775656268000603,0.013893934898078442,0.023020983041103765,0.27262824658746637,8009,339891,29377,347900,0.5,0.08210504816693331,0.14814310515028764,0.19188480784287026,0.5,0.060353337645096504,0.12196616400585492,0.17149470674337067,0.5,0.0822071688736086,0.14930047315927425,0.19294005514518162,0.0822071688736086,0.14930047315927425,0.19294005514518162,29377,17395,17395,1739500,100.0,100.0,0.4108923375606537,0.42990291118621826,0.1572570949792862,0.6263912916183472,0.6620485186576843,0.41396331787109375,0.11607719957828522,0.14133507128362738,0.6585806877515692,17395,2683,17395,0,20.0,92.36620335094631,mean,geometric_mean,odvg_phrase_grounding,4.794496618942349,2.0,1.4110067621153037,iou,0.25,0.25,2.0,True,False,False,True,True,0.1,0.25,0.05,0.25,128,5,True,False,0.05,10,0.3,10,0.0,0.5,1.0,10,True,5,12,0.0,0.1,3,odvg_appended_phrase,4.0,0.25,20,0.5,0.5,0.15625,0.3125,True,False
epoch,1785289230.1737914,9,505.55020926799625,9.973982302033758e-05,9.973982302033758e-05,9.973982302033758e-05,9.973982302033759e-06,9.973982302033758e-05,2.5240793228149414,12286,1.6273369789123535,1.7934808731079102,0.8967404365539551,0.02476457692682743,0.6487752199172974,0.06377954035997391,0.03876274451613426,0.15505097806453705,0.06702744215726852,0.06702744215726852,0.15505097806453705,0.03876274451613426,,,,,,,,,,,,,,,,,,,0.03216470032930374,0.018714934587478638,0.023860304685254383,0.28256799537052796,8301,339599,29377,347900,0.5,0.08227524934472547,0.15542771555979168,0.20393505123055453,0.5,0.05620042890696804,0.11798345644551861,0.1667971542363073,0.5,0.08363685876706267,0.15641488239098614,0.20533070088845015,0.08363685876706267,0.15641488239098614,0.20533070088845015,29377,17395,17395,1739500,100.0,100.0,0.4124435484409332,0.42640236020088196,0.1620493084192276,0.6257088780403137,0.6619804501533508,0.414439857006073,0.11954930424690247,0.13187186163554504,0.6818069994807168,17395,2683,17395,0,20.0,92.1857517589815,mean,geometric_mean,odvg_phrase_grounding,4.735539713586371,2.0,1.5289205728272584,iou,0.25,0.25,2.0,True,False,False,True,True,0.1,0.25,0.05,0.25,128,5,True,False,0.05,10,0.3,10,0.0,0.5,1.0,10,True,5,12,0.0,0.1,3,odvg_appended_phrase,4.0,0.25,20,0.5,0.5,0.25925925925925924,0.5185185185185185,True,False
epoch,1785289779.1317134,10,534.449894328136,9.968524264156583e-05,9.968524264156583e-05,9.968524264156583e-05,9.968524264156583e-06,9.968524264156583e-05,2.500265121459961,12286,1.612320899963379,1.7758903503417969,0.8879451751708984,0.024207474663853645,0.6442156434059143,0.05697309970855713,0.0385686419904232,0.1542745679616928,0.06703115999698639,0.06703115999698639,0.1542745679616928,0.0385686419904232,1.5751723051071167,0.022484764456748962,0.6122567057609558,0.06668387353420258,0.08371476083993912,0.08371476083993912,,,0.15124045312404633,0.03781011328101158,0.0,0.0,0,0.5311744900929367,True,True,0.37615740740740744,0.7523148148148149,1.0,2.0,0.03366972506046295,0.02026749774813652,0.024150617993676345,0.2860060591619294,8402,339498,29377,347900,0.5,0.0854750314872179,0.1641760560983082,0.211730265173435,0.5,0.06719542499234095,0.1362290227048371,0.1810600129352895,0.5,0.08727916397181469,0.16557170575620384,0.21159410423120129,0.08727916397181469,0.16557170575620384,0.21159410423120129,29377,17395,17395,1739500,100.0,100.0,0.41884684562683105,0.437681645154953,0.15951542556285858,0.6359805464744568,0.6646355986595154,0.43077918887138367,0.12618716061115265,0.14477312970945427,0.663927289317872,17395,2683,17395,0,20.0,115.86078716511838,mean,geometric_mean,odvg_phrase_grounding,4.670890299021787,2.0,1.6582194019564265,iou,0.25,0.25,2.0,True,False,False,True,True,0.1,0.25,0.05,0.25,128,5,True,True,0.05,10,0.3,10,0.0,0.5,1.0,10,True,5,12,0.0,0.1,3,odvg_appended_phrase,4.0,0.25,20,0.5,0.5,0.37615740740740744,0.7523148148148149,True,False
